日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,sector
2023-01-31,3053.53,3060.56,3065.95,3035.12,40178726,1484792339126.93,1.02,-1.67,-52.13,0.98,Banking
2023-02-01,3109.04,3115.0,3120.86,3096.91,115055931,4868720854332.33,0.77,1.78,54.44,1.57,Banking
2023-02-02,3100.21,3107.18,3120.94,3096.06,209455185,9144325547425.2,0.8,-0.25,-7.82,4.77,Banking
2023-02-03,3104.1,3110.32,3134.44,3099.93,72425262,2522576279334.76,1.11,0.1,3.14,1.87,Banking
2023-02-06,3050.75,3057.77,3062.5,3039.18,41781568,1446959705789.91,0.77,-1.69,-52.56,1.26,Banking
2023-02-07,3051.41,3038.4,3069.24,3033.44,30265522,984176595815.97,1.18,-0.63,-19.36,2.57,Banking
2023-02-08,3058.62,3043.06,3080.95,3034.72,74699801,3356757121224.62,1.52,0.15,4.65,1.88,Banking
2023-02-09,2995.47,3001.63,3016.02,2981.55,114026184,4408427126807.87,1.16,-1.36,-41.42,0.66,Banking
2023-02-10,3006.73,3015.77,3022.01,3001.95,83268748,2155245119403.45,0.67,0.47,14.13,1.95,Banking
2023-02-13,2999.72,2994.63,3005.53,2985.83,65581098,2757475043014.44,0.66,-0.7,-21.13,2.95,Banking
2023-02-14,2978.82,2984.75,2985.1,2963.3,48903727,1658738926462.83,0.74,-0.33,-9.88,2.98,Banking
2023-02-15,2970.55,2963.8,2983.43,2952.05,38031228,955982257054.88,1.06,-0.7,-20.95,2.1,Banking
2023-02-16,3032.48,3030.27,3037.2,2987.37,99670037,3578418234944.8,1.67,2.24,66.47,2.51,Banking
2023-02-17,3013.84,3030.38,3047.53,2995.84,103686845,3431226999498.1,1.73,0.0,0.12,4.84,Banking
2023-02-20,3009.19,2992.52,3026.35,2973.12,30314451,1283119429193.49,1.79,-1.25,-37.86,2.2,Banking
2023-02-21,3042.2,3022.66,3048.99,3003.47,145388421,4143209897328.01,1.52,1.01,30.14,1.66,Banking
2023-02-22,2972.41,2978.98,2981.86,2965.54,87490048,3592868004439.86,0.55,-1.45,-43.68,1.6,Banking
2023-02-23,2982.88,2987.04,2991.11,2975.04,132196144,4700530010223.87,0.54,0.27,8.06,2.56,Banking
2023-02-24,2920.4,2917.4,2924.03,2909.71,33563043,820764946609.25,0.49,-2.33,-69.65,3.92,Banking
2023-02-27,2874.94,2871.48,2883.04,2867.97,33167728,1409838484682.59,0.53,-1.57,-45.91,1.43,Banking
2023-02-28,2885.67,2878.84,2892.24,2877.11,60947009,2033246783984.91,0.53,0.26,7.36,3.69,Banking
2023-03-01,2925.95,2904.93,2938.19,2900.36,84426527,2461392892978.95,1.3,0.91,26.09,0.6,Banking
2023-03-02,2909.63,2911.48,2930.29,2908.43,161203872,5296925963908.93,0.75,0.23,6.55,2.39,Banking
2023-03-03,2899.67,2908.02,2909.79,2868.78,93459566,3806318278868.8,1.43,-0.12,-3.46,3.99,Banking
2023-03-06,2883.71,2898.1,2925.07,2880.53,58157148,1708090958923.31,1.55,-0.34,-9.93,2.02,Banking
2023-03-07,2839.77,2847.26,2860.93,2828.16,39303156,1046182233471.5,1.16,-1.75,-50.84,3.04,Banking
2023-03-08,2822.9,2823.23,2832.42,2820.52,121448430,3052808061819.11,0.42,-0.84,-24.03,1.42,Banking
2023-03-09,2826.33,2808.19,2833.31,2767.95,40533821,1147944946710.6,2.36,-0.53,-15.04,3.84,Banking
2023-03-10,2839.08,2844.38,2846.83,2834.07,148223863,5674940610134.04,0.45,1.29,36.18,0.74,Banking
2023-03-13,2858.98,2856.68,2863.79,2852.38,56957029,1838822643816.77,0.4,0.43,12.3,4.34,Banking
2023-03-14,2796.64,2796.81,2803.38,2784.27,145442450,3901934891607.89,0.69,-2.1,-59.87,1.39,Banking
2023-03-15,2820.26,2808.25,2828.85,2801.74,92199534,2372550503686.7,0.97,0.41,11.44,4.43,Banking
2023-03-16,2821.26,2795.83,2836.29,2790.19,61312988,1770622726743.08,1.65,-0.44,-12.42,2.09,Banking
2023-03-17,2768.38,2773.68,2779.13,2760.31,50642505,2047920494071.7,0.68,-0.79,-22.15,3.75,Banking
2023-03-20,2789.67,2794.59,2797.83,2762.13,55369865,1609440304835.1,1.29,0.75,20.91,1.94,Banking
2023-03-21,2840.36,2829.73,2849.53,2814.37,81340804,3433448510014.56,1.25,1.26,35.13,4.58,Banking
2023-03-22,2868.94,2861.92,2895.1,2855.41,68242510,2225807418682.71,1.39,1.14,32.19,1.07,Banking
2023-03-23,2852.51,2833.67,2854.32,2821.07,48792847,1279503005551.15,1.18,-0.99,-28.25,1.3,Banking
2023-03-24,2829.65,2823.72,2842.89,2816.19,60441365,2429987864829.94,0.95,-0.35,-9.95,2.72,Banking
2023-03-27,2831.84,2835.51,2850.58,2819.35,68290997,2173118981696.5,1.11,0.42,11.79,0.87,Banking
2023-03-28,2875.37,2869.27,2877.03,2863.52,22649151,842725592230.42,0.47,1.19,33.76,1.38,Banking
2023-03-29,2864.73,2853.34,2894.61,2849.3,82563979,3506891349353.35,1.59,-0.56,-15.92,4.75,Banking
2023-03-30,2855.97,2847.56,2867.59,2834.22,40230637,956708981898.32,1.18,-0.2,-5.79,4.89,Banking
2023-03-31,2815.46,2810.32,2822.69,2797.93,36885674,899449410332.73,0.88,-1.31,-37.23,2.19,Banking
2023-04-03,2781.18,2770.54,2782.39,2753.98,28242198,1020581643115.75,1.03,-1.42,-39.78,4.65,Banking
2023-04-04,2809.89,2798.11,2814.37,2797.37,26776996,747210698298.57,0.61,1.0,27.57,2.95,Banking
2023-04-06,2858.36,2844.21,2860.98,2834.52,33340260,880950861548.89,0.93,1.65,46.1,1.71,Banking
2023-04-07,2848.96,2842.32,2858.66,2825.15,46061569,1083447936392.81,1.19,-0.07,-1.89,3.66,Banking
2023-04-10,2875.39,2877.12,2883.13,2872.39,174359456,4089939812592.42,0.37,1.22,34.8,3.47,Banking
2023-04-11,2891.71,2890.18,2898.83,2885.9,50478606,1958078425411.28,0.45,0.45,13.06,4.95,Banking
2023-04-12,2880.84,2868.38,2884.43,2834.97,71762675,1840448555887.38,1.74,-0.75,-21.8,1.69,Banking
2023-04-13,2872.92,2881.4,2891.62,2866.95,80216572,2605835416138.91,0.86,0.45,13.01,3.52,Banking
2023-04-14,2939.05,2935.15,2947.73,2915.75,70106957,2518945366390.29,1.1,1.87,53.76,0.73,Banking
2023-04-17,2930.32,2934.48,2947.66,2922.38,63166096,2038670497398.79,0.86,-0.02,-0.67,1.01,Banking
2023-04-18,2990.47,2990.16,3006.06,2975.5,36119849,884527308614.92,1.03,1.9,55.68,0.52,Banking
2023-04-19,2910.09,2896.76,2917.58,2867.72,135633068,5298015184892.46,1.74,-3.12,-93.4,5.0,Banking
2023-04-20,2927.92,2925.91,2939.28,2903.63,162079631,3828741845565.55,1.23,1.01,29.15,4.11,Banking
2023-04-21,2930.04,2929.55,2935.21,2903.12,28308442,1105738172259.12,1.11,0.12,3.64,4.04,Banking
2023-04-24,2905.33,2919.62,2945.39,2879.24,39349180,1637468818596.99,2.3,-0.34,-9.93,2.79,Banking
2023-04-25,2931.28,2923.42,2934.42,2917.96,57087448,1840785405275.98,0.56,0.13,3.8,1.85,Banking
2023-04-26,2860.91,2854.28,2865.71,2842.39,40537219,1359390695410.44,0.82,-2.37,-69.14,1.18,Banking
2023-04-27,2869.5,2847.33,2869.77,2840.02,84560919,2730094423681.5,1.05,-0.24,-6.95,1.78,Banking
2023-04-28,2856.93,2860.1,2864.26,2820.79,45620324,1399313715573.12,1.54,0.45,12.77,2.19,Banking
2023-05-04,2913.69,2911.4,2924.88,2911.35,193836976,8020328767034.8,0.46,1.79,51.3,3.9,Banking
2023-05-05,2896.47,2893.87,2918.94,2889.32,119076213,4913021157369.98,1.03,-0.6,-17.52,2.93,Banking
2023-05-08,2882.65,2866.37,2897.23,2853.66,73023145,2166524919684.18,1.53,-0.95,-27.5,0.85,Banking
2023-05-09,2848.71,2849.69,2864.29,2834.85,109725585,3847725909130.74,1.04,-0.58,-16.69,0.58,Banking
2023-05-10,2884.46,2881.56,2897.61,2880.38,114141585,4765306410614.12,0.6,1.12,31.87,0.96,Banking
2023-05-11,2899.84,2893.51,2923.65,2880.65,49526887,2111534190300.93,1.49,0.41,11.94,2.35,Banking
2023-05-12,2877.62,2875.69,2879.06,2872.16,43657750,1451654240842.22,0.24,-0.62,-17.82,4.7,Banking
2023-05-15,2889.33,2893.98,2896.32,2876.91,68276181,2207032350254.7,0.67,0.64,18.29,3.37,Banking
2023-05-16,2899.95,2897.93,2900.93,2892.25,101018887,2913068441239.79,0.3,0.14,3.95,4.11,Banking
2023-05-17,2943.52,2932.19,2959.94,2918.18,70387778,3036437624864.64,1.43,1.18,34.26,2.6,Banking
2023-05-18,2897.33,2908.08,2921.02,2888.27,29844220,781077155357.38,1.13,-0.82,-24.12,2.13,Banking
2023-05-19,2898.61,2897.22,2901.93,2885.28,43951081,1535521054018.36,0.58,-0.37,-10.85,0.99,Banking
2023-05-22,2876.9,2884.17,2897.67,2873.66,63275803,1820939595181.74,0.84,-0.45,-13.05,4.44,Banking
2023-05-23,2846.29,2834.09,2853.13,2833.57,63222271,1783367820447.6,0.69,-1.74,-50.08,4.02,Banking
2023-05-24,2829.13,2844.73,2847.32,2809.46,176048676,5426180180939.76,1.35,0.38,10.64,1.26,Banking
2023-05-25,2848.47,2854.21,2867.93,2844.37,32835014,1404979720933.26,0.83,0.33,9.48,2.81,Banking
2023-05-26,2858.84,2854.96,2895.93,2854.27,84545010,2023851394444.05,1.46,0.03,0.75,2.69,Banking
2023-05-29,2863.54,2847.49,2872.86,2811.67,138247560,4743508177202.59,2.18,-0.26,-7.47,3.31,Banking
2023-05-30,2799.04,2799.7,2808.49,2784.1,204427689,4909501087706.29,0.88,-1.68,-47.79,4.76,Banking
2023-05-31,2780.56,2786.13,2810.61,2761.02,53639767,1357226453546.3,1.8,-0.48,-13.57,3.11,Banking
2023-06-01,2794.02,2775.23,2800.88,2761.95,83948554,2580663487199.57,1.41,-0.39,-10.9,2.93,Banking
2023-06-02,2734.73,2749.06,2767.19,2731.05,87301672,2777547395285.74,1.32,-0.94,-26.16,0.73,Banking
2023-06-05,2722.57,2744.29,2746.1,2699.59,72401738,1949471119336.55,1.72,-0.17,-4.77,0.78,Banking
2023-06-06,2762.52,2758.15,2775.15,2753.22,62493768,1760763311630.66,0.8,0.5,13.85,1.34,Banking
2023-06-07,2816.03,2821.13,2842.96,2810.77,81652883,1983057185905.05,1.15,2.28,62.98,0.65,Banking
2023-06-08,2817.21,2827.6,2845.45,2816.49,18511023,529831830190.13,1.03,0.23,6.47,3.85,Banking
2023-06-09,2844.14,2836.91,2866.53,2820.24,92344318,3868256835857.66,1.64,0.33,9.3,3.75,Banking
2023-06-12,2837.43,2834.94,2847.53,2820.02,69935850,2897220278839.52,0.98,-0.07,-1.97,1.11,Banking
2023-06-13,2764.61,2770.23,2771.23,2756.3,58747699,1683455081953.15,0.54,-2.28,-64.71,4.26,Banking
2023-06-14,2757.14,2769.9,2791.2,2739.68,182713716,6071156354695.26,1.88,-0.01,-0.33,1.2,Banking
2023-06-15,2781.17,2772.46,2784.45,2769.76,46853346,1866280688592.72,0.53,0.09,2.56,1.86,Banking
2023-06-16,2861.65,2854.96,2873.23,2844.0,53675220,1232560173826.29,1.03,2.98,82.51,1.62,Banking
2023-06-19,2847.93,2848.95,2878.63,2847.06,177730097,6924136590107.78,1.11,-0.21,-6.02,2.18,Banking
2023-06-20,2878.84,2859.82,2881.27,2842.84,43313258,1813257044185.42,1.35,0.38,10.88,1.65,Banking
2023-06-21,2848.19,2859.21,2860.9,2841.94,49870607,1231877505366.55,0.67,-0.02,-0.62,2.7,Banking
2023-06-22,2804.19,2819.68,2827.14,2803.62,61006275,1570548430413.2,0.84,-1.38,-39.53,2.33,Banking
2023-06-23,2851.79,2858.91,2859.51,2851.0,99968654,4208492008168.2,0.3,1.39,39.23,4.94,Banking
2023-06-26,2884.81,2885.28,2908.76,2873.06,72849137,2472420839011.85,1.24,0.92,26.37,0.75,Banking
2023-06-27,2915.8,2913.25,2924.51,2881.83,34404135,811781744007.08,1.48,0.97,27.97,1.14,Banking
2023-06-28,2879.53,2882.04,2884.73,2871.15,50320128,1421736233977.03,0.47,-1.07,-31.21,0.74,Banking
2023-06-29,2934.84,2931.13,2945.3,2928.16,48463562,1583833853238.37,0.59,1.7,49.09,3.32,Banking
2023-06-30,2869.42,2882.41,2900.67,2852.89,63173121,2339930093620.44,1.67,-1.66,-48.72,0.75,Banking
2023-07-03,2918.37,2903.28,2926.94,2896.43,81240287,3097387230237.44,1.05,0.72,20.88,4.26,Banking
2023-07-04,2979.29,2980.18,2980.71,2952.46,80930626,3610082860509.39,0.96,2.65,76.89,2.8,Banking
2023-07-05,2957.2,2945.35,2963.29,2936.59,27017466,796759460013.35,0.91,-1.17,-34.83,2.87,Banking
2023-07-06,2929.53,2925.92,2939.27,2917.0,111771871,3848407098393.87,0.76,-0.66,-19.43,3.03,Banking
2023-07-07,2934.82,2930.01,2954.64,2913.27,74498118,2561136492577.0,1.42,0.14,4.08,1.27,Banking
2023-07-10,2918.86,2912.89,2920.03,2904.16,131204275,4142685820437.83,0.55,-0.58,-17.12,1.39,Banking
2023-07-11,2863.88,2859.27,2884.56,2856.74,81989288,2153031617120.96,0.97,-1.84,-53.62,1.93,Banking
2023-07-12,2868.82,2862.19,2879.28,2853.89,113880644,4837791435150.59,0.89,0.1,2.92,3.17,Banking
2023-07-13,2839.8,2826.28,2840.93,2796.36,82910531,3274322249349.83,1.59,-1.25,-35.91,1.45,Banking
2023-07-14,2844.92,2842.91,2864.82,2830.67,128715213,4203872723658.67,1.21,0.59,16.63,1.02,Banking
2023-07-17,2819.29,2812.11,2823.47,2794.9,85252271,2930259336798.18,1.02,-1.08,-30.8,4.87,Banking
2023-07-18,2864.05,2864.98,2875.32,2855.09,62522833,1717970232239.61,0.71,1.88,52.87,0.6,Banking
2023-07-19,2853.34,2838.62,2857.71,2823.12,204528392,6854605347249.38,1.23,-0.92,-26.36,4.11,Banking
2023-07-20,2821.33,2828.22,2846.41,2818.6,102412420,3726217431575.68,0.99,-0.37,-10.4,4.05,Banking
2023-07-21,2874.91,2856.39,2900.79,2856.3,87475753,2899976919811.03,1.56,1.0,28.18,1.84,Banking
2023-07-24,2814.37,2814.77,2816.33,2806.28,34686037,1457861018620.55,0.36,-1.46,-41.62,1.11,Banking
2023-07-25,2808.48,2823.02,2825.19,2799.47,34478489,1195195800078.59,0.92,0.29,8.25,1.16,Banking
2023-07-26,2869.19,2867.87,2878.43,2857.76,76008652,2309921707653.06,0.72,1.59,44.85,3.64,Banking
2023-07-27,2806.22,2813.12,2816.0,2805.12,70615526,2662914266182.42,0.39,-1.91,-54.75,3.39,Banking
2023-07-28,2828.45,2819.91,2838.66,2813.72,48299835,1252131779403.69,0.89,0.24,6.8,4.02,Banking
2023-07-31,2822.63,2829.27,2833.61,2802.9,70455463,2131241076776.56,1.1,0.33,9.36,4.72,Banking
2023-08-01,2790.17,2794.66,2805.34,2780.74,145300339,4234741543147.93,0.88,-1.22,-34.61,3.61,Banking
2023-08-02,2735.01,2753.74,2767.96,2724.65,92961988,2821723230618.16,1.59,-1.46,-40.92,1.2,Banking
2023-08-03,2706.24,2710.66,2710.93,2705.15,37113663,1355361766079.05,0.21,-1.56,-43.08,1.6,Banking
2023-08-04,2704.37,2728.18,2753.07,2686.06,62099319,1929536394750.82,2.49,0.65,17.52,4.29,Banking
2023-08-07,2722.83,2738.45,2739.24,2717.47,43904033,1630073966324.79,0.8,0.38,10.27,1.44,Banking
2023-08-08,2754.74,2747.22,2764.11,2735.87,54089467,1788414348386.91,1.03,0.32,8.78,0.83,Banking
2023-08-09,2767.0,2759.19,2787.1,2740.61,53393104,1531336285954.18,1.7,0.44,11.97,3.66,Banking
2023-08-10,2741.42,2737.23,2765.15,2728.06,51710799,1934890860742.01,1.36,-0.8,-21.96,2.31,Banking
2023-08-11,2735.85,2745.41,2766.28,2730.03,35055122,930456618788.74,1.33,0.3,8.18,4.64,Banking
2023-08-14,2755.14,2755.61,2759.14,2748.8,61600014,1624581973197.86,0.38,0.37,10.2,3.43,Banking
2023-08-15,2732.51,2732.54,2739.21,2728.62,49609662,1563217876487.14,0.39,-0.84,-23.07,0.91,Banking
2023-08-16,2782.61,2794.27,2815.47,2776.43,15176756,416697774208.0,1.41,2.26,61.73,4.77,Banking
2023-08-17,2825.93,2810.71,2838.07,2808.05,183272745,4153785178806.98,1.07,0.59,16.45,1.66,Banking
2023-08-18,2779.85,2771.1,2786.29,2766.95,113168093,3931937332761.08,0.7,-1.41,-39.62,2.02,Banking
2023-08-21,2791.26,2793.48,2795.45,2768.48,54398635,1759359320174.79,0.97,0.81,22.39,2.31,Banking
2023-08-22,2761.63,2761.37,2783.01,2747.16,66280714,2034990918560.58,1.3,-1.15,-32.11,0.73,Banking
2023-08-23,2790.09,2788.0,2802.1,2785.45,36549308,1504931385964.89,0.6,0.96,26.63,2.73,Banking
2023-08-24,2806.54,2827.32,2830.96,2793.86,153292962,5200204315195.14,1.33,1.41,39.32,1.05,Banking
2023-08-25,2797.55,2800.04,2812.02,2783.69,169547612,6667264911872.78,1.02,-0.96,-27.28,2.3,Banking
2023-08-28,2826.02,2832.97,2862.23,2820.62,71011107,1805754695778.72,1.48,1.18,32.93,2.08,Banking
2023-08-29,2837.3,2847.57,2857.4,2812.66,109536164,3738092854968.41,1.59,0.52,14.6,3.98,Banking
2023-08-30,2873.32,2876.23,2879.15,2870.31,71674342,2901766066077.54,0.31,1.01,28.66,4.11,Banking
2023-08-31,2961.32,2942.27,2975.35,2930.3,33653825,1196319134257.18,1.54,2.3,66.04,1.19,Banking
2023-09-01,2940.97,2934.2,2942.82,2925.01,53440974,2042576071826.29,0.61,-0.27,-8.08,2.15,Banking
2023-09-04,2902.27,2908.25,2909.32,2887.09,70137207,2163026389680.73,0.77,-0.88,-25.95,2.18,Banking
2023-09-05,2883.72,2877.78,2886.83,2866.94,52311466,1301751206963.5,0.69,-1.05,-30.46,1.18,Banking
2023-09-06,2864.55,2850.19,2873.48,2845.12,58860062,1879826193617.03,1.0,-0.96,-27.6,4.09,Banking
2023-09-07,2857.6,2848.12,2859.91,2828.9,62726854,1922555271019.26,1.1,-0.07,-2.07,3.68,Banking
2023-09-08,2860.96,2860.35,2867.03,2860.14,63057700,2537660333343.39,0.24,0.43,12.23,1.36,Banking
2023-09-11,2863.73,2870.42,2885.44,2851.33,67398225,1878114409487.5,1.2,0.35,10.07,2.15,Banking
2023-09-12,2906.77,2899.49,2926.46,2886.85,38636093,1654285668473.98,1.37,1.01,29.07,0.98,Banking
2023-09-13,2904.63,2900.52,2906.0,2879.37,45877801,1957046847828.01,0.93,0.04,1.03,3.33,Banking
2023-09-14,2961.2,2951.69,2961.47,2944.45,34542736,992414216470.73,0.58,1.76,51.17,1.05,Banking
2023-09-15,2949.64,2942.91,2959.66,2928.35,107060834,3288184699190.23,1.07,-0.3,-8.78,4.94,Banking
2023-09-18,3051.04,3039.56,3054.46,3029.96,22912118,993723847913.88,0.81,3.28,96.65,4.01,Banking
2023-09-19,3057.08,3062.99,3077.0,3044.54,116895995,5287105086135.77,1.07,0.77,23.43,2.26,Banking
2023-09-20,3046.47,3032.09,3050.67,3016.2,131323551,4421477890052.36,1.14,-1.01,-30.89,3.1,Banking
2023-09-21,2995.86,2993.73,3004.67,2980.94,56452475,1731777802587.66,0.8,-1.27,-38.36,4.6,Banking
2023-09-22,3034.17,3011.67,3039.43,3009.18,17866382,628615556964.75,1.01,0.6,17.93,2.99,Banking
2023-09-25,2996.74,3004.19,3020.69,2988.78,54807889,2109932697007.93,1.07,-0.25,-7.47,1.29,Banking
2023-09-26,3049.47,3030.53,3051.06,3013.43,63586256,1910492490142.46,1.25,0.88,26.34,2.2,Banking
2023-09-27,3050.52,3048.35,3051.01,3035.25,39614306,1588612469159.29,0.52,0.59,17.82,4.29,Banking
2023-09-28,3039.15,3046.3,3049.34,3030.44,50748407,1292658616001.8,0.62,-0.07,-2.05,3.4,Banking
2023-09-29,3010.7,3015.95,3017.81,2996.99,141116676,3551664340305.83,0.69,-1.0,-30.35,3.43,Banking
2023-10-09,2958.31,2961.73,2988.48,2951.73,91556202,2902549372577.34,1.24,-1.8,-54.22,4.4,Banking
2023-10-10,2950.95,2946.45,2958.72,2927.12,41355581,1276317905288.78,1.08,-0.52,-15.28,4.52,Banking
2023-10-11,2982.92,2977.32,2984.25,2965.2,29538362,897870218261.11,0.64,1.05,30.87,4.64,Banking
2023-10-12,2979.4,2985.56,2987.86,2961.77,55755763,1903854026055.36,0.88,0.28,8.24,0.93,Banking
2023-10-13,2941.27,2941.53,2956.04,2933.48,59013194,1778444277548.45,0.77,-1.47,-44.03,2.95,Banking
2023-10-16,2970.97,2948.23,2989.02,2939.38,84148999,2318608448748.01,1.69,0.23,6.7,3.83,Banking
2023-10-17,2980.88,2962.45,2993.27,2952.55,50240982,1513115639637.98,1.38,0.48,14.22,3.91,Banking
2023-10-18,2936.23,2931.63,2949.89,2923.44,84795224,3685148822575.56,0.91,-1.04,-30.83,3.23,Banking
2023-10-19,2938.02,2937.62,2944.05,2933.95,172788181,5521416686110.62,0.34,0.2,5.99,1.25,Banking
2023-10-20,2941.53,2940.26,2950.65,2932.65,98715300,3225529926052.79,0.61,0.09,2.64,4.09,Banking
2023-10-23,2906.93,2900.52,2931.7,2886.48,64100052,2237740849498.13,1.57,-1.35,-39.74,3.74,Banking
2023-10-24,2902.83,2913.55,2930.25,2875.48,59914240,2598093625409.64,1.9,0.45,13.03,0.89,Banking
2023-10-25,2931.02,2933.74,2946.69,2926.11,54935121,1561888708250.08,0.7,0.69,20.19,2.59,Banking
2023-10-26,2954.6,2972.46,2986.73,2932.41,118487787,4497233016213.86,1.85,1.32,38.72,1.28,Banking
2023-10-27,3014.97,3010.64,3024.67,3009.26,47982325,1879666476741.97,0.51,1.28,38.18,2.02,Banking
2023-10-30,2968.37,2961.47,2988.21,2957.73,67161542,2436740946382.92,1.03,-1.63,-49.17,0.58,Banking
2023-10-31,2923.64,2928.74,2932.25,2914.11,67362493,1700622948397.95,0.62,-1.11,-32.74,2.3,Banking
2023-11-01,2964.12,2947.42,2968.23,2943.15,51090437,1918168850560.73,0.85,0.64,18.69,2.97,Banking
2023-11-02,2953.09,2966.18,2969.89,2948.42,33057771,828437260652.43,0.73,0.64,18.76,3.29,Banking
2023-11-03,2969.37,2985.11,2987.03,2958.94,77167369,2804087611781.71,0.95,0.64,18.93,3.49,Banking
2023-11-06,3126.24,3123.72,3138.41,3118.69,63687445,2621466253453.02,0.63,4.64,138.61,4.26,Banking
2023-11-07,3157.6,3145.74,3169.63,3140.97,84319206,2513684168737.09,0.91,0.71,22.02,1.47,Banking
2023-11-08,3208.57,3189.24,3235.5,3182.05,50284118,2227727977672.48,1.68,1.38,43.5,1.04,Banking
2023-11-09,3221.05,3226.38,3246.58,3197.31,120892303,3203236292252.68,1.54,1.16,37.15,4.33,Banking
2023-11-10,3264.88,3252.25,3290.93,3240.44,42355680,1915663995753.75,1.56,0.8,25.86,1.2,Banking
2023-11-13,3240.15,3240.6,3256.66,3230.62,154548750,5620467384984.82,0.81,-0.36,-11.65,4.89,Banking
2023-11-14,3268.73,3270.76,3288.45,3252.77,27403512,853559436479.82,1.1,0.93,30.16,4.29,Banking
2023-11-15,3251.39,3241.08,3268.42,3237.28,81603689,2363548023024.31,0.96,-0.91,-29.68,2.75,Banking
2023-11-16,3240.11,3232.52,3246.5,3231.91,83279696,3950057341070.27,0.45,-0.26,-8.56,4.92,Banking
2023-11-17,3196.1,3214.34,3231.4,3194.03,44111076,1206424527728.21,1.17,-0.56,-18.18,0.94,Banking
2023-11-20,3235.24,3218.14,3238.58,3212.98,81181420,2454120186122.41,0.8,0.12,3.8,1.86,Banking
2023-11-21,3324.6,3308.17,3329.52,3285.44,124492911,4297486290705.86,1.34,2.8,90.03,3.37,Banking
2023-11-22,3227.42,3234.7,3246.81,3210.66,21673276,865230816066.47,1.13,-2.22,-73.47,2.08,Banking
2023-11-23,3266.64,3261.99,3287.18,3241.44,84424854,3253383254419.23,1.41,0.84,27.29,4.68,Banking
2023-11-24,3205.2,3199.51,3226.68,3189.96,18875297,536248808182.02,1.15,-1.92,-62.48,0.8,Banking
2023-11-27,3185.02,3182.03,3193.61,3161.74,40514382,1292803082137.43,1.01,-0.55,-17.48,2.97,Banking
2023-11-28,3217.86,3224.25,3227.49,3211.89,148275588,4623614075003.28,0.49,1.33,42.22,3.16,Banking
2023-11-29,3219.58,3227.38,3253.46,3202.72,49087205,1504196354465.02,1.58,0.1,3.13,3.44,Banking
2023-11-30,3186.0,3186.29,3198.61,3155.22,36508658,1265407466489.24,1.38,-1.27,-41.09,1.65,Banking
2023-12-01,3172.91,3159.58,3187.61,3144.05,59472889,2429329992344.81,1.39,-0.84,-26.71,2.14,Banking
2023-12-04,3192.21,3185.97,3216.96,3182.16,184646393,5601689732576.29,1.09,0.84,26.4,4.3,Banking
2023-12-05,3154.47,3158.69,3177.4,3138.65,26275798,877009327963.8,1.23,-0.86,-27.29,1.38,Banking
2023-12-06,3176.32,3167.52,3185.36,3165.32,38816075,1320052524334.92,0.63,0.28,8.84,4.22,Banking
