日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,index_name,index_code
2023-02-02,3118.94,3132.62,3147.38,3108.76,42821585,1782045492643.44,1.24,1.34,41.53,4.62,SSE Composite,0
2023-02-03,3171.31,3184.91,3209.3,3148.35,34150885,1388898861086.74,1.94,1.67,52.3,3.84,SSE Composite,0
2023-02-06,3190.75,3189.16,3192.57,3166.98,83263777,2221404601735.74,0.81,0.13,4.25,1.09,SSE Composite,0
2023-02-07,3210.29,3209.68,3233.04,3205.0,32690416,1371847213073.36,0.87,0.64,20.52,0.86,SSE Composite,0
2023-02-08,3177.09,3170.47,3179.26,3153.65,50557934,2293444618860.91,0.81,-1.22,-39.21,3.39,SSE Composite,0
2023-02-09,3159.1,3172.52,3172.97,3144.51,58275386,2682897948241.26,0.9,0.06,2.05,2.04,SSE Composite,0
2023-02-10,3213.94,3209.86,3224.94,3209.13,89332165,3669271185461.63,0.49,1.18,37.33,1.94,SSE Composite,0
2023-02-13,3179.18,3198.51,3209.41,3165.73,30374732,1312170376665.37,1.38,-0.35,-11.35,4.28,SSE Composite,0
2023-02-14,3231.67,3257.41,3260.04,3223.3,56624017,1567952310431.98,1.14,1.84,58.91,2.05,SSE Composite,0
2023-02-15,3209.01,3188.03,3239.77,3185.14,66520544,1935936117152.56,1.72,-2.13,-69.38,3.34,SSE Composite,0
2023-02-16,3187.75,3175.78,3203.24,3158.3,42690380,1333702453740.77,1.42,-0.38,-12.25,2.92,SSE Composite,0
2023-02-17,3102.84,3102.88,3105.97,3100.94,54909158,1996707312663.39,0.16,-2.3,-72.9,1.68,SSE Composite,0
2023-02-20,3092.28,3114.97,3141.1,3084.47,102413029,3414624274255.44,1.84,0.39,12.08,1.99,SSE Composite,0
2023-02-21,3102.19,3107.31,3122.62,3090.72,50955447,1995007168467.0,1.03,-0.25,-7.65,4.74,SSE Composite,0
2023-02-22,3106.08,3101.07,3116.2,3092.85,54735620,1887465548712.1,0.76,-0.2,-6.25,1.99,SSE Composite,0
2023-02-23,3123.73,3128.91,3135.51,3107.22,102237043,4294586505684.04,0.91,0.9,27.85,4.03,SSE Composite,0
2023-02-24,3136.1,3118.57,3169.76,3113.35,58876031,2386023427675.87,1.81,-0.33,-10.34,4.38,SSE Composite,0
2023-02-27,3231.22,3223.92,3232.72,3217.29,128208738,5468819569602.43,0.48,3.38,105.35,0.82,SSE Composite,0
2023-02-28,3244.7,3255.52,3279.43,3231.65,28942058,1300439811610.18,1.48,0.98,31.6,3.48,SSE Composite,0
2023-03-01,3238.31,3257.02,3257.42,3225.02,57271121,2581537855001.14,1.0,0.05,1.5,3.87,SSE Composite,0
2023-03-02,3241.15,3230.98,3248.19,3216.01,96798829,4208699103103.99,1.0,-0.8,-26.04,2.45,SSE Composite,0
2023-03-03,3205.67,3195.99,3214.18,3182.83,45824495,1239223643604.87,0.98,-1.08,-34.99,3.06,SSE Composite,0
2023-03-06,3221.82,3213.07,3250.97,3208.76,58399111,2319690521467.52,1.32,0.53,17.08,1.23,SSE Composite,0
2023-03-07,3212.46,3193.09,3240.63,3185.91,123487962,3209087045342.67,1.72,-0.62,-19.98,1.93,SSE Composite,0
2023-03-08,3236.7,3231.38,3238.01,3214.95,44573787,1902167381304.1,0.72,1.2,38.29,3.68,SSE Composite,0
2023-03-09,3229.6,3228.51,3233.28,3204.67,83578644,2274003893344.79,0.89,-0.09,-2.87,3.21,SSE Composite,0
2023-03-10,3234.65,3225.77,3252.97,3211.7,95374912,4578721683617.92,1.29,-0.08,-2.73,1.11,SSE Composite,0
2023-03-13,3244.9,3230.54,3249.21,3224.71,68224744,2710630107293.05,0.76,0.15,4.76,4.95,SSE Composite,0
2023-03-14,3232.95,3224.97,3239.93,3219.67,66986813,2003460718774.1,0.63,-0.17,-5.57,4.72,SSE Composite,0
2023-03-15,3236.38,3236.01,3256.43,3221.88,39331728,1435435641529.19,1.07,0.34,11.05,1.51,SSE Composite,0
2023-03-16,3328.26,3316.7,3339.32,3313.35,94633177,4327242318391.9,0.78,2.49,80.69,4.44,SSE Composite,0
2023-03-17,3339.71,3338.56,3346.01,3310.4,35069156,1084162590781.58,1.08,0.66,21.86,1.7,SSE Composite,0
2023-03-20,3349.96,3355.85,3383.87,3346.17,79846708,3150445890277.24,1.13,0.52,17.29,3.04,SSE Composite,0
2023-03-21,3389.36,3387.88,3401.56,3386.98,50667702,1377551192731.66,0.43,0.95,32.03,4.02,SSE Composite,0
2023-03-22,3379.92,3383.81,3396.3,3372.77,53899316,2465658214829.83,0.7,-0.12,-4.07,2.05,SSE Composite,0
2023-03-23,3343.98,3345.02,3346.64,3343.78,59373890,1859405135307.43,0.09,-1.15,-38.79,3.0,SSE Composite,0
2023-03-24,3214.34,3224.16,3227.02,3201.46,84287869,2910593999150.98,0.8,-3.61,-120.85,2.53,SSE Composite,0
2023-03-27,3156.45,3145.14,3166.11,3133.61,143374581,5281195261258.19,1.04,-2.45,-79.02,3.92,SSE Composite,0
2023-03-28,3176.13,3173.68,3176.72,3162.16,69418730,1985908302473.05,0.46,0.91,28.54,2.65,SSE Composite,0
2023-03-29,3196.2,3188.05,3203.62,3180.82,45808727,2115641423772.6,0.72,0.45,14.36,3.05,SSE Composite,0
2023-03-30,3188.23,3182.7,3203.83,3166.06,31967261,1147820178216.76,1.19,-0.17,-5.34,4.31,SSE Composite,0
2023-03-31,3262.61,3273.24,3289.77,3244.5,117268035,3693559266744.63,1.4,2.84,90.54,3.64,SSE Composite,0
2023-04-03,3287.81,3272.22,3308.65,3257.27,71677461,3083324765589.65,1.58,-0.03,-1.02,2.87,SSE Composite,0
2023-04-04,3177.24,3179.81,3189.11,3169.35,58479875,2651625077381.39,0.62,-2.82,-92.41,2.58,SSE Composite,0
2023-04-06,3204.6,3208.77,3211.13,3186.67,67609406,3121525568434.27,0.77,0.91,28.96,1.07,SSE Composite,0
2023-04-07,3256.3,3253.79,3269.79,3235.68,96333982,3453580170168.02,1.05,1.4,45.02,0.75,SSE Composite,0
2023-04-10,3285.0,3282.23,3302.15,3268.79,53487806,1846223257418.64,1.02,0.87,28.44,4.79,SSE Composite,0
2023-04-11,3360.04,3328.87,3389.88,3322.8,47062804,2272408158136.77,2.02,1.42,46.64,1.34,SSE Composite,0
2023-04-12,3265.86,3258.86,3278.98,3255.46,34107641,930328058934.9,0.72,-2.1,-70.01,1.75,SSE Composite,0
2023-04-13,3257.19,3262.89,3264.85,3245.64,38278162,1655363195704.07,0.59,0.12,4.03,3.25,SSE Composite,0
2023-04-14,3252.79,3230.72,3268.78,3224.96,55263394,1650170511826.77,1.36,-0.99,-32.17,4.23,SSE Composite,0
2023-04-17,3232.24,3251.32,3258.7,3220.36,112373344,4113427725096.71,1.19,0.64,20.6,4.25,SSE Composite,0
2023-04-18,3305.22,3310.96,3331.28,3305.02,50919589,2474241693534.83,0.79,1.83,59.64,4.23,SSE Composite,0
2023-04-19,3290.07,3296.67,3303.61,3286.22,74797546,2975767030858.03,0.53,-0.43,-14.3,4.9,SSE Composite,0
2023-04-20,3322.72,3322.77,3338.18,3294.54,115209119,4465172352817.8,1.32,0.79,26.11,0.75,SSE Composite,0
2023-04-21,3292.26,3288.16,3297.7,3271.96,79469339,2203505003315.57,0.79,-1.04,-34.62,2.3,SSE Composite,0
2023-04-24,3292.95,3287.8,3307.22,3283.2,176150989,5757537013416.91,0.73,-0.01,-0.36,4.61,SSE Composite,0
2023-04-25,3272.74,3267.84,3279.17,3261.09,67922320,1780413124842.23,0.55,-0.61,-19.96,2.6,SSE Composite,0
2023-04-26,3346.36,3338.79,3388.09,3307.75,60703355,2862801757822.76,2.43,2.17,70.95,4.42,SSE Composite,0
2023-04-27,3295.14,3295.86,3310.71,3252.3,54252371,2237602173113.0,1.8,-1.29,-42.93,0.58,SSE Composite,0
2023-04-28,3315.0,3299.68,3329.34,3298.17,177798699,5178137964027.02,0.95,0.12,3.82,2.77,SSE Composite,0
2023-05-04,3334.76,3354.23,3355.55,3298.91,120809411,4272788713621.36,1.72,1.65,54.55,4.65,SSE Composite,0
2023-05-05,3246.17,3276.28,3281.1,3240.88,31652115,1418621387746.74,1.24,-2.32,-77.95,1.68,SSE Composite,0
2023-05-08,3302.34,3293.56,3322.52,3282.51,188582132,5578854135555.34,1.22,0.53,17.28,4.68,SSE Composite,0
2023-05-09,3294.35,3298.28,3302.29,3247.95,84223978,2670118917190.02,1.67,0.14,4.72,0.54,SSE Composite,0
2023-05-10,3291.88,3271.65,3292.43,3254.55,70036201,2701453208702.8,1.16,-0.81,-26.63,0.86,SSE Composite,0
2023-05-11,3332.18,3319.72,3334.94,3299.17,85083007,2546197558517.94,1.08,1.47,48.07,2.65,SSE Composite,0
2023-05-12,3395.59,3388.41,3404.39,3372.98,40653930,1471048211471.58,0.93,2.07,68.69,0.98,SSE Composite,0
2023-05-15,3409.52,3415.5,3430.12,3393.57,72452889,3680987763361.62,1.08,0.8,27.09,1.52,SSE Composite,0
2023-05-16,3411.96,3403.68,3429.39,3396.1,56268811,2261282317702.5,0.98,-0.35,-11.82,1.84,SSE Composite,0
2023-05-17,3340.15,3344.92,3349.8,3303.54,54834391,2368039060031.82,1.4,-1.73,-58.76,2.67,SSE Composite,0
2023-05-18,3353.2,3352.48,3356.13,3345.65,106051262,4495017647082.55,0.31,0.23,7.56,2.26,SSE Composite,0
2023-05-19,3342.71,3346.64,3351.96,3333.5,57527049,1825497140974.35,0.55,-0.17,-5.85,4.65,SSE Composite,0
2023-05-22,3346.36,3343.24,3369.88,3337.36,69014000,3212409794803.36,0.97,-0.1,-3.4,4.49,SSE Composite,0
2023-05-23,3320.64,3323.64,3352.13,3319.12,77351442,2276349290741.12,0.99,-0.59,-19.6,3.87,SSE Composite,0
2023-05-24,3312.54,3300.65,3312.72,3274.54,105245186,5020003475536.05,1.17,-0.69,-22.99,3.47,SSE Composite,0
2023-05-25,3307.51,3302.13,3317.72,3291.17,123779507,3888098833994.55,0.81,0.04,1.48,1.42,SSE Composite,0
2023-05-26,3247.7,3253.67,3261.98,3238.92,66148421,3160192311270.87,0.71,-1.47,-48.46,3.21,SSE Composite,0
2023-05-29,3289.15,3294.46,3307.91,3252.91,54344981,2432353952622.38,1.69,1.25,40.79,1.16,SSE Composite,0
2023-05-30,3249.68,3264.61,3273.06,3242.2,170100112,5107126795282.57,0.95,-0.91,-29.85,2.54,SSE Composite,0
2023-05-31,3246.35,3269.33,3307.79,3240.28,18071370,538987120564.87,2.08,0.14,4.72,2.58,SSE Composite,0
2023-06-01,3267.87,3256.93,3270.04,3235.72,101309884,2834913177641.98,1.06,-0.38,-12.4,3.6,SSE Composite,0
2023-06-02,3278.46,3282.67,3311.37,3253.07,61097015,1951759239167.76,1.79,0.79,25.74,4.26,SSE Composite,0
2023-06-05,3291.96,3306.45,3317.44,3278.09,87334187,3642425200901.8,1.2,0.72,23.78,1.94,SSE Composite,0
2023-06-06,3332.22,3326.9,3335.64,3309.96,67014318,2595609813169.34,0.78,0.62,20.45,0.69,SSE Composite,0
2023-06-07,3272.05,3280.57,3286.96,3263.17,124615314,5025675286707.01,0.73,-1.39,-46.33,0.71,SSE Composite,0
2023-06-08,3272.5,3273.32,3284.02,3270.6,80967801,2178041020279.52,0.41,-0.22,-7.25,4.44,SSE Composite,0
2023-06-09,3321.06,3336.58,3356.6,3301.27,32266037,921533680521.05,1.68,1.93,63.26,2.69,SSE Composite,0
2023-06-12,3330.99,3323.23,3362.3,3318.61,31547870,1346555850577.28,1.32,-0.4,-13.36,1.62,SSE Composite,0
2023-06-13,3366.47,3365.4,3366.59,3357.57,58966333,2765410129950.83,0.27,1.27,42.18,0.65,SSE Composite,0
2023-06-14,3371.39,3365.33,3390.18,3363.92,88970535,3148637603658.35,0.78,-0.0,-0.07,2.88,SSE Composite,0
2023-06-15,3348.0,3353.16,3376.72,3337.51,126228455,3879374382816.21,1.17,-0.36,-12.17,1.12,SSE Composite,0
2023-06-16,3363.99,3361.0,3371.68,3354.78,46982930,1604123518782.68,0.5,0.23,7.84,2.38,SSE Composite,0
2023-06-19,3310.34,3327.77,3347.47,3280.71,21732259,787146170665.12,2.03,-0.99,-33.23,2.82,SSE Composite,0
2023-06-20,3391.59,3364.04,3427.0,3355.64,81453306,3400751922279.97,2.13,1.09,36.27,1.53,SSE Composite,0
2023-06-21,3334.88,3329.9,3339.64,3316.04,67065558,2426686218763.17,0.71,-1.01,-34.14,1.39,SSE Composite,0
2023-06-22,3372.97,3352.36,3398.96,3349.44,70534655,3376447126145.23,1.48,0.67,22.46,0.59,SSE Composite,0
2023-06-23,3392.83,3396.09,3397.71,3383.23,37859642,1389697470364.08,0.43,1.3,43.73,3.13,SSE Composite,0
2023-06-26,3400.87,3413.78,3416.9,3386.26,119209939,3772326557904.61,0.9,0.52,17.69,1.4,SSE Composite,0
2023-06-27,3384.81,3390.81,3393.99,3372.15,43655674,1441557911730.52,0.65,-0.67,-22.97,4.45,SSE Composite,0
2023-06-28,3398.17,3398.7,3422.66,3388.7,76593801,2930200507211.83,1.0,0.23,7.9,3.22,SSE Composite,0
2023-06-29,3367.69,3369.1,3394.84,3339.42,75364446,3422009469357.85,1.66,-0.87,-29.6,3.0,SSE Composite,0
2023-06-30,3383.42,3360.89,3389.77,3331.28,86438293,4092076431523.08,1.76,-0.24,-8.21,2.77,SSE Composite,0
2023-07-03,3329.83,3340.12,3353.63,3328.97,45249279,1405137037873.64,0.74,-0.62,-20.77,1.47,SSE Composite,0
2023-07-04,3302.74,3309.95,3315.0,3301.06,41380410,1099064068007.62,0.42,-0.9,-30.18,4.86,SSE Composite,0
2023-07-05,3343.88,3335.32,3362.93,3312.47,100586586,4725647931272.04,1.52,0.77,25.38,4.85,SSE Composite,0
2023-07-06,3355.76,3375.04,3386.09,3331.06,86557319,2803721521171.7,1.65,1.19,39.71,1.95,SSE Composite,0
2023-07-07,3417.53,3418.03,3425.77,3416.34,77635381,3649139069594.85,0.28,1.27,43.0,3.99,SSE Composite,0
2023-07-10,3430.05,3428.31,3439.63,3418.29,115280437,4685385510043.58,0.62,0.3,10.27,1.04,SSE Composite,0
2023-07-11,3494.53,3489.09,3516.67,3473.46,77893161,2943011870277.83,1.24,1.77,60.78,4.01,SSE Composite,0
2023-07-12,3465.44,3461.1,3499.0,3445.47,54569139,1704977518319.22,1.55,-0.8,-27.99,1.79,SSE Composite,0
2023-07-13,3539.97,3514.82,3550.36,3485.15,85070824,3798682052314.58,1.87,1.55,53.72,1.8,SSE Composite,0
2023-07-14,3542.22,3553.53,3554.9,3526.94,82246762,4011973782098.76,0.79,1.1,38.71,2.78,SSE Composite,0
2023-07-17,3547.34,3555.59,3569.44,3522.0,83284874,3324809066545.33,1.35,0.06,2.05,2.27,SSE Composite,0
2023-07-18,3573.28,3565.46,3576.27,3540.69,42222674,1674716838167.66,1.01,0.28,9.87,1.03,SSE Composite,0
2023-07-19,3613.1,3610.16,3614.11,3608.04,40243807,1930413977391.55,0.17,1.25,44.7,3.17,SSE Composite,0
2023-07-20,3643.79,3639.19,3676.33,3621.43,101958850,4267356356419.71,1.52,0.8,29.03,1.46,SSE Composite,0
2023-07-21,3632.5,3650.97,3660.43,3628.11,60964337,3004660376077.02,0.89,0.32,11.78,2.5,SSE Composite,0
2023-07-24,3660.13,3631.61,3676.66,3604.54,24850817,756175860220.06,2.0,-0.53,-19.36,1.54,SSE Composite,0
2023-07-25,3597.53,3591.7,3605.94,3573.26,33076060,1663593674635.88,0.91,-1.1,-39.92,4.36,SSE Composite,0
2023-07-26,3576.24,3596.72,3608.75,3546.86,33961468,1201283571603.62,1.74,0.14,5.03,2.02,SSE Composite,0
2023-07-27,3555.5,3547.69,3566.06,3530.47,111961136,3648062452400.79,1.01,-1.36,-49.03,4.49,SSE Composite,0
2023-07-28,3565.0,3579.22,3609.37,3560.8,64090805,1887016326867.84,1.36,0.89,31.53,1.97,SSE Composite,0
2023-07-31,3515.09,3503.37,3522.25,3484.37,66831003,3240062076702.27,1.09,-2.12,-75.85,1.31,SSE Composite,0
2023-08-01,3454.64,3471.08,3483.43,3441.01,55029234,1608465432386.37,1.23,-0.92,-32.29,3.09,SSE Composite,0
2023-08-02,3472.43,3459.9,3482.15,3453.78,38671543,1964312433296.82,0.82,-0.32,-11.18,3.0,SSE Composite,0
2023-08-03,3426.87,3442.0,3449.89,3419.39,96003842,3950105003954.6,0.89,-0.52,-17.9,3.29,SSE Composite,0
2023-08-04,3418.89,3430.92,3449.58,3390.13,90981222,4023848835946.67,1.75,-0.32,-11.08,1.86,SSE Composite,0
2023-08-07,3314.24,3312.6,3340.5,3302.7,46165641,1999868203465.27,1.14,-3.45,-118.32,1.94,SSE Composite,0
2023-08-08,3288.11,3295.36,3312.58,3285.06,132358970,4382989380613.27,0.84,-0.52,-17.23,1.57,SSE Composite,0
2023-08-09,3254.87,3261.38,3265.73,3231.52,95292769,4240738616717.83,1.06,-1.03,-33.98,4.68,SSE Composite,0
2023-08-10,3210.46,3228.24,3247.05,3194.11,42844271,2022627374751.97,1.66,-1.02,-33.14,3.57,SSE Composite,0
2023-08-11,3345.49,3349.47,3358.39,3304.94,56873819,2017166140547.83,1.62,3.76,121.23,3.9,SSE Composite,0
2023-08-14,3304.46,3293.98,3323.59,3289.67,54625973,2491665210923.71,1.03,-1.66,-55.49,1.37,SSE Composite,0
2023-08-15,3332.35,3309.97,3361.02,3299.39,76760189,3405674565153.2,1.87,0.49,15.99,3.48,SSE Composite,0
2023-08-16,3288.47,3278.7,3294.91,3267.42,32142290,1278020067844.99,0.84,-0.94,-31.27,3.93,SSE Composite,0
2023-08-17,3251.13,3243.14,3275.68,3233.58,46153206,1582624713371.93,1.3,-1.08,-35.56,2.04,SSE Composite,0
2023-08-18,3171.65,3191.04,3231.67,3152.16,97679156,3399477256448.89,2.52,-1.61,-52.09,1.21,SSE Composite,0
2023-08-21,3234.23,3234.57,3240.62,3209.65,29697406,975305105959.61,0.96,1.36,43.52,3.64,SSE Composite,0
2023-08-22,3273.94,3281.64,3288.06,3263.49,59478580,2143917749833.47,0.75,1.46,47.07,3.25,SSE Composite,0
2023-08-23,3239.83,3257.54,3268.22,3221.45,35564756,1729394299774.45,1.45,-0.73,-24.1,3.09,SSE Composite,0
2023-08-24,3278.44,3293.53,3298.97,3276.24,103657372,3599670378576.05,0.69,1.1,35.98,1.32,SSE Composite,0
2023-08-25,3260.74,3252.92,3269.09,3244.69,77955892,3210011179058.45,0.75,-1.23,-40.61,1.68,SSE Composite,0
2023-08-28,3231.09,3237.59,3271.19,3211.99,31520501,1044714125452.84,1.84,-0.47,-15.33,3.31,SSE Composite,0
2023-08-29,3246.95,3264.29,3268.03,3228.15,38988954,1433904936591.46,1.24,0.82,26.7,3.26,SSE Composite,0
2023-08-30,3218.01,3225.4,3237.86,3195.07,66118378,1831121513453.82,1.34,-1.19,-38.89,3.0,SSE Composite,0
2023-08-31,3200.43,3197.1,3236.6,3191.02,20717536,883764358475.35,1.43,-0.88,-28.29,3.96,SSE Composite,0
2023-09-01,3190.6,3198.36,3223.19,3187.1,37880012,1529832522128.48,1.13,0.04,1.26,4.17,SSE Composite,0
2023-09-04,3186.17,3200.11,3227.36,3161.04,43488796,1451867025769.94,2.1,0.05,1.75,1.74,SSE Composite,0
2023-09-05,3148.56,3159.03,3168.89,3141.14,124824485,4603300198332.72,0.88,-1.28,-41.09,1.21,SSE Composite,0
2023-09-06,3254.32,3243.99,3268.84,3231.84,49212871,2251895375201.64,1.14,2.69,84.96,1.41,SSE Composite,0
2023-09-07,3187.44,3211.47,3229.98,3167.41,91302571,2436918521056.38,1.98,-1.0,-32.52,1.77,SSE Composite,0
2023-09-08,3245.37,3248.5,3249.36,3235.25,51832637,2443427428250.03,0.44,1.15,37.04,4.76,SSE Composite,0
2023-09-11,3270.7,3272.06,3291.54,3263.96,95274342,3521323427028.06,0.85,0.73,23.55,1.12,SSE Composite,0
2023-09-12,3231.94,3240.76,3247.79,3215.54,30216350,1372657778772.28,1.0,-0.96,-31.3,4.45,SSE Composite,0
2023-09-13,3247.86,3259.1,3296.86,3240.7,45734495,2091274853068.74,1.73,0.57,18.34,1.42,SSE Composite,0
2023-09-14,3237.98,3226.55,3243.71,3223.49,62167388,1687128646205.65,0.63,-1.0,-32.55,2.07,SSE Composite,0
2023-09-15,3241.01,3229.62,3271.24,3212.6,71765792,3122293209783.99,1.83,0.1,3.07,1.07,SSE Composite,0
2023-09-18,3263.11,3261.88,3270.21,3255.3,77198716,3306319694486.77,0.46,1.0,32.26,0.97,SSE Composite,0
2023-09-19,3234.02,3240.35,3247.97,3233.71,72301321,1945091126758.34,0.44,-0.66,-21.52,0.93,SSE Composite,0
2023-09-20,3258.0,3256.68,3264.1,3248.68,84560380,4016163629520.3,0.47,0.5,16.32,2.04,SSE Composite,0
2023-09-21,3239.2,3234.49,3252.24,3226.04,65280248,2627075407042.0,0.81,-0.68,-22.18,2.86,SSE Composite,0
2023-09-22,3240.33,3241.63,3250.87,3223.31,71629899,2129890509966.56,0.86,0.22,7.14,1.4,SSE Composite,0
2023-09-25,3251.13,3246.09,3255.5,3209.34,39562745,1138053306756.88,1.44,0.14,4.45,4.7,SSE Composite,0
2023-09-26,3228.01,3232.13,3270.17,3226.97,29237664,1127744158227.36,1.34,-0.43,-13.96,3.14,SSE Composite,0
2023-09-27,3125.56,3161.42,3170.74,3124.24,37545756,998468968154.03,1.49,-2.19,-70.71,4.48,SSE Composite,0
2023-09-28,3189.14,3191.36,3211.43,3162.24,28246953,824917137296.32,1.56,0.95,29.94,1.17,SSE Composite,0
2023-09-29,3275.97,3267.91,3279.12,3265.9,73457596,3514174813935.79,0.4,2.4,76.55,1.15,SSE Composite,0
2023-10-09,3274.07,3273.71,3287.77,3271.01,105007897,4542241066878.72,0.51,0.18,5.8,4.31,SSE Composite,0
2023-10-10,3253.98,3249.96,3255.34,3232.02,40876571,1633278984455.36,0.72,-0.73,-23.76,3.06,SSE Composite,0
2023-10-11,3255.22,3258.4,3273.39,3238.97,108716379,3351737920710.8,1.06,0.26,8.44,4.72,SSE Composite,0
2023-10-12,3301.24,3303.53,3310.47,3286.99,82301203,2590957118520.3,0.71,1.39,45.14,1.16,SSE Composite,0
2023-10-13,3356.65,3354.59,3368.57,3349.84,49780087,1857082716040.8,0.56,1.55,51.05,0.62,SSE Composite,0
2023-10-16,3415.36,3391.62,3415.4,3388.15,55135554,2483045227741.94,0.8,1.1,37.04,4.62,SSE Composite,0
2023-10-17,3420.42,3410.08,3430.97,3406.43,114689635,3139567080668.06,0.72,0.54,18.46,3.64,SSE Composite,0
2023-10-18,3446.84,3438.06,3462.43,3433.06,20545114,586974043157.1,0.86,0.82,27.97,4.13,SSE Composite,0
2023-10-19,3445.82,3443.28,3476.69,3432.12,114456999,5553284815042.06,1.3,0.15,5.22,1.83,SSE Composite,0
2023-10-20,3387.8,3404.12,3434.43,3378.97,102770641,4792322506008.93,1.64,-1.14,-39.16,0.51,SSE Composite,0
2023-10-23,3403.95,3389.0,3414.64,3383.08,48904822,2131854962542.38,0.93,-0.44,-15.12,2.67,SSE Composite,0
2023-10-24,3387.23,3376.21,3389.44,3371.58,62681234,2432991494439.13,0.53,-0.38,-12.79,4.96,SSE Composite,0
2023-10-25,3392.86,3388.4,3406.31,3383.69,148098913,4524333087653.4,0.67,0.36,12.19,4.58,SSE Composite,0
2023-10-26,3316.49,3317.01,3322.54,3314.15,34108522,986071969877.05,0.25,-2.11,-71.39,0.82,SSE Composite,0
2023-10-27,3344.24,3337.68,3344.8,3327.11,59947501,2868756674247.63,0.53,0.62,20.67,1.35,SSE Composite,0
2023-10-30,3254.68,3257.39,3278.04,3253.23,90749786,3156397129170.52,0.76,-2.41,-80.29,1.9,SSE Composite,0
2023-10-31,3282.38,3273.8,3300.25,3263.53,72918516,3072346496163.9,1.13,0.5,16.4,4.24,SSE Composite,0
2023-11-01,3310.07,3320.08,3328.31,3299.78,67391386,2504464435990.97,0.86,1.41,46.29,4.21,SSE Composite,0
2023-11-02,3332.99,3356.07,3372.36,3324.86,162857167,7168948981139.18,1.43,1.08,35.98,1.33,SSE Composite,0
2023-11-03,3305.97,3320.33,3323.6,3298.43,37727842,1171660055055.72,0.76,-1.06,-35.74,2.9,SSE Composite,0
2023-11-06,3347.21,3345.51,3355.99,3342.03,38582972,1470472300834.27,0.42,0.76,25.18,2.76,SSE Composite,0
2023-11-07,3370.45,3374.12,3393.79,3367.01,18689666,670848881337.99,0.8,0.86,28.61,2.36,SSE Composite,0
2023-11-08,3441.69,3443.52,3452.82,3431.66,38288778,1280955850108.21,0.62,2.06,69.4,2.91,SSE Composite,0
2023-11-09,3442.84,3458.98,3469.13,3428.07,47084765,1984346709692.6,1.2,0.45,15.46,1.82,SSE Composite,0
2023-11-10,3505.72,3501.92,3511.63,3470.98,77047354,3172686462140.47,1.17,1.24,42.94,2.89,SSE Composite,0
